Client ID,Client Tenure (Years),Client Tenure (Months),Client Age,Gender,Number of Accounts,Balance,Calls Last 6 Months,Logons Last 6 Months
12785.0,15.0,190.0,51.5,F,2,82425.55,2,5
12785.0,15.0,190.0,51.5,F,2,82425.55,2,5
12785.0,15.0,190.0,51.5,F,2,82425.55,2,5
12785.0,15.0,190.0,51.5,F,2,82425.55,2,5
12785.0,15.0,190.0,51.5,F,2,82425.55,2,5
13735.0,11.0,143.0,27.5,M,2,119530.99,5,8
13735.0,11.0,143.0,27.5,M,2,119530.99,5,8
13735.0,11.0,143.0,27.5,M,2,119530.99,5,8
13735.0,11.0,143.0,27.5,M,2,119530.99,5,8
13735.0,11.0,143.0,27.5,M,2,119530.99,5,8
13735.0,11.0,143.0,27.5,M,2,119530.99,5,8
13831.0,16.0,194.0,42.0,F,3,241208.20,6,9
13831.0,16.0,194.0,42.0,F,3,241208.20,6,9
13831.0,16.0,194.0,42.0,F,3,241208.20,6,9
13831.0,16.0,194.0,42.0,F,3,241208.20,6,9
13831.0,16.0,194.0,42.0,F,3,241208.20,6,9
13831.0,16.0,194.0,42.0,F,3,241208.20,6,9
13831.0,16.0,194.0,42.0,F,3,241208.20,6,9
13831.0,16.0,194.0,42.0,F,3,241208.20,6,9
13831.0,16.0,194.0,42.0,F,3,241208.20,6,9
14690.0,6.0,83.0,43.0,M,3,205881.18,5,8
14690.0,6.0,83.0,43.0,M,3,205881.18,5,8
14690.0,6.0,83.0,43.0,M,3,205881.18,5,8
14775.0,15.0,191.0,28.0,F,4,150775.90,5,8
15050.0,26.0,321.0,52.5,F,3,65688.56,6,9
15050.0,26.0,321.0,52.5,F,3,65688.56,6,9
15050.0,26.0,321.0,52.5,F,3,65688.56,6,9
15050.0,26.0,321.0,52.5,F,3,65688.56,6,9
15050.0,26.0,321.0,52.5,F,3,65688.56,6,9
15050.0,26.0,321.0,52.5,F,3,65688.56,6,9
15050.0,26.0,321.0,52.5,F,3,65688.56,6,9
15050.0,26.0,321.0,52.5,F,3,65688.56,6,9
15050.0,26.0,321.0,52.5,F,3,65688.56,6,9
15753.0,6.0,75.0,58.0,M,2,59565.00,3,6
15753.0,6.0,75.0,58.0,M,2,59565.00,3,6
15753.0,6.0,75.0,58.0,M,2,59565.00,3,6
15753.0,6.0,75.0,58.0,M,2,59565.00,3,6
15753.0,6.0,75.0,58.0,M,2,59565.00,3,6
15753.0,6.0,75.0,58.0,M,2,59565.00,3,6
15753.0,6.0,75.0,58.0,M,2,59565.00,3,6
15753.0,6.0,75.0,58.0,M,2,59565.00,3,6
15753.0,6.0,75.0,58.0,M,2,59565.00,3,6
15753.0,6.0,75.0,58.0,M,2,59565.00,3,6
15807.0,4.0,55.0,27.0,F,2,59259.90,3,6
15807.0,4.0,55.0,27.0,F,2,59259.90,3,6
15807.0,4.0,55.0,27.0,F,2,59259.90,3,6
15807.0,4.0,55.0,27.0,F,2,59259.90,3,6
15807.0,4.0,55.0,27.0,F,2,59259.90,3,6
16135.0,14.0,170.0,63.5,F,2,173616.20,3,6
16135.0,14.0,170.0,63.5,F,2,173616.20,3,6
16135.0,14.0,170.0,63.5,F,2,173616.20,3,6
16135.0,14.0,170.0,63.5,F,2,173616.20,3,6
16135.0,14.0,170.0,63.5,F,2,173616.20,3,6
16135.0,14.0,170.0,63.5,F,2,173616.20,3,6
16135.0,14.0,170.0,63.5,F,2,173616.20,3,6
16135.0,14.0,170.0,63.5,F,2,173616.20,3,6
16135.0,14.0,170.0,63.5,F,2,173616.20,3,6
16135.0,14.0,170.0,63.5,F,2,173616.20,3,6
16135.0,14.0,170.0,63.5,F,2,173616.20,3,6
16135.0,14.0,170.0,63.5,F,2,173616.20,3,6
16135.0,14.0,170.0,63.5,F,2,173616.20,3,6
16135.0,14.0,170.0,63.5,F,2,173616.20,3,6
16135.0,14.0,170.0,63.5,F,2,173616.20,3,6
16295.0,23.0,281.0,55.0,F,2,77984.93,2,5
16295.0,23.0,281.0,55.0,F,2,77984.93,2,5
16295.0,23.0,281.0,55.0,F,2,77984.93,2,5
16295.0,23.0,281.0,55.0,F,2,77984.93,2,5
16295.0,23.0,281.0,55.0,F,2,77984.93,2,5
16295.0,23.0,281.0,55.0,F,2,77984.93,2,5
16295.0,23.0,281.0,55.0,F,2,77984.93,2,5
16295.0,23.0,281.0,55.0,F,2,77984.93,2,5
16295.0,23.0,281.0,55.0,F,2,77984.93,2,5
16549.0,24.0,294.0,55.5,F,3,314799.02,4,7
16549.0,24.0,294.0,55.5,F,3,314799.02,4,7
16549.0,24.0,294.0,55.5,F,3,314799.02,4,7
16549.0,24.0,294.0,55.5,F,3,314799.02,4,7
16549.0,24.0,294.0,55.5,F,3,314799.02,4,7
16549.0,24.0,294.0,55.5,F,3,314799.02,4,7
16549.0,24.0,294.0,55.5,F,3,314799.02,4,7
16549.0,24.0,294.0,55.5,F,3,314799.02,4,7
16549.0,24.0,294.0,55.5,F,3,314799.02,4,7
16549.0,24.0,294.0,55.5,F,3,314799.02,4,7
16549.0,24.0,294.0,55.5,F,3,314799.02,4,7
16549.0,24.0,294.0,55.5,F,3,314799.02,4,7
16744.0,18.0,224.0,62.0,F,2,117267.04,1,4
16744.0,18.0,224.0,62.0,F,2,117267.04,1,4
16747.0,13.0,166.0,31.5,F,2,64652.09,1,4
16747.0,13.0,166.0,31.5,F,2,64652.09,1,4
16747.0,13.0,166.0,31.5,F,2,64652.09,1,4
16747.0,13.0,166.0,31.5,F,2,64652.09,1,4
16747.0,13.0,166.0,31.5,F,2,64652.09,1,4
17008.0,25.0,304.0,55.5,M,2,27571.03,1,4
17008.0,25.0,304.0,55.5,M,2,27571.03,1,4
17008.0,25.0,304.0,55.5,M,2,27571.03,1,4
17008.0,25.0,304.0,55.5,M,2,27571.03,1,4
17008.0,25.0,304.0,55.5,M,2,27571.03,1,4
17160.0,14.0,169.0,53.5,F,3,140511.63,6,9
17160.0,14.0,169.0,53.5,F,3,140511.63,6,9
17160.0,14.0,169.0,53.5,F,3,140511.63,6,9
17160.0,14.0,169.0,53.5,F,3,140511.63,6,9
17160.0,14.0,169.0,53.5,F,3,140511.63,6,9
17160.0,14.0,169.0,53.5,F,3,140511.63,6,9
17160.0,14.0,169.0,53.5,F,3,140511.63,6,9
17160.0,14.0,169.0,53.5,F,3,140511.63,6,9
17160.0,14.0,169.0,53.5,F,3,140511.63,6,9
17160.0,14.0,169.0,53.5,F,3,140511.63,6,9
17170.0,15.0,189.0,63.0,M,2,83531.35,3,6
17170.0,15.0,189.0,63.0,M,2,83531.35,3,6
17170.0,15.0,189.0,63.0,M,2,83531.35,3,6
17170.0,15.0,189.0,63.0,M,2,83531.35,3,6
17170.0,15.0,189.0,63.0,M,2,83531.35,3,6
17318.0,16.0,195.0,69.0,M,2,51120.27,0,3
17318.0,16.0,195.0,69.0,M,2,51120.27,0,3
17318.0,16.0,195.0,69.0,M,2,51120.27,0,3
17318.0,16.0,195.0,69.0,M,2,51120.27,0,3
17318.0,16.0,195.0,69.0,M,2,51120.27,0,3
18549.0,22.0,264.0,43.0,M,3,55374.98,4,7
18549.0,22.0,264.0,43.0,M,3,55374.98,4,7
18549.0,22.0,264.0,43.0,M,3,55374.98,4,7
18549.0,22.0,264.0,43.0,M,3,55374.98,4,7
18549.0,22.0,264.0,43.0,M,3,55374.98,4,7
18549.0,22.0,264.0,43.0,M,3,55374.98,4,7
18549.0,22.0,264.0,43.0,M,3,55374.98,4,7
18660.0,18.0,222.0,45.0,M,2,98708.90,2,5
18660.0,18.0,222.0,45.0,M,2,98708.90,2,5
